Country,Year,CO2 Emissions (tons),Renewable Energy Share (%),Temperature Change (°C)
USA,2010,2.76,54.63,-0.45
USA,2011,11.37,25.07,0.89
USA,2012,7.61,30.7,1.81
USA,2013,10.84,7.06,0.1
USA,2014,1.91,10.33,0.27
USA,2015,5.07,43.74,2.9
USA,2016,6.65,19.73,-0.2
USA,2017,7.98,31.79,2.29
USA,2018,3.76,44.21,2.19
USA,2019,13.33,25.36,2.99
USA,2020,8.3,29.24,2.81
USA,2021,6.63,16.22,1.15
USA,2022,5.82,5.54,2.83
India,2010,8.98,59.0,2.28
India,2011,14.72,9.08,0.49
India,2012,14.58,29.91,1.46
India,2013,2.01,53.39,-0.3
India,2014,12.55,35.93,2.42
India,2015,3.42,11.52,0.77
India,2016,6.08,35.95,-0.81
India,2017,9.69,58.68,0.14
India,2018,11.43,11.89,0.55
India,2019,6.06,19.29,-0.23
India,2020,6.33,44.18,-0.7
India,2021,8.45,59.68,-0.79
India,2022,1.88,30.44,1.26
China,2010,12.67,27.01,2.37
China,2011,4.86,19.71,-0.75
China,2012,6.3,21.69,2.73
China,2013,14.16,50.75,1.78
China,2014,7.87,22.24,2.34
China,2015,14.37,30.62,0.76
China,2016,12.44,13.96,-0.11
China,2017,2.01,57.31,0.68
China,2018,9.73,33.12,2.97
China,2019,13.17,42.52,-0.12
China,2020,6.65,40.6,1.24
China,2021,11.85,43.38,2.7
China,2022,14.17,26.15,2.58
Germany,2010,5.72,39.69,0.62
Germany,2011,4.98,34.53,2.67
Germany,2012,3.96,12.92,2.74
Germany,2013,7.81,23.95,2.57
Germany,2014,10.16,17.35,1.09
Germany,2015,13.19,22.14,2.39
Germany,2016,13.79,41.49,1.43
Germany,2017,1.54,20.55,0.15
Germany,2018,8.23,20.46,1.17
Germany,2019,3.31,37.39,0.09
Germany,2020,4.89,32.29,0.1
Germany,2021,12.37,36.52,-0.44
Germany,2022,8.72,38.13,1.48
Brazil,2010,7.71,56.05,-0.65
Brazil,2011,7.69,8.32,2.11
Brazil,2012,13.47,22.99,1.28
Brazil,2013,8.44,36.77,0.19
Brazil,2014,10.2,57.87,1.87
Brazil,2015,10.96,7.07,-0.05
Brazil,2016,3.96,28.88,2.91
Brazil,2017,8.79,37.82,1.66
Brazil,2018,1.7,46.56,0.41
Brazil,2019,8.8,5.5,2.8
Brazil,2020,9.93,19.16,-0.11
Brazil,2021,3.31,47.28,2.21
Brazil,2022,9.44,38.21,1.43
Canada,2010,13.27,35.22,0.64
Canada,2011,11.43,41.79,0.26
Canada,2012,13.55,30.42,2.6
Canada,2013,9.21,44.58,0.25
Canada,2014,12.61,24.6,0.25
Canada,2015,10.78,9.19,2.68
Canada,2016,5.03,13.56,2.33
Canada,2017,13.86,59.68,-0.3
Canada,2018,4.5,38.76,-0.93
Canada,2019,9.02,46.8,0.37
Canada,2020,2.44,58.08,2.6
Canada,2021,10.95,59.58,1.88
Canada,2022,7.77,59.75,0.23
France,2010,7.57,51.69,0.63
France,2011,6.15,17.45,-0.23
France,2012,13.64,13.26,2.62
France,2013,11.0,47.36,2.78
France,2014,3.07,33.06,-0.24
France,2015,2.09,41.96,1.48
France,2016,12.68,41.96,0.05
France,2017,3.55,36.07,2.84
France,2018,9.74,33.51,-0.57
France,2019,3.12,13.6,0.16
France,2020,12.01,55.09,0.6
France,2021,9.14,50.64,2.16
France,2022,7.79,11.27,-0.1
Australia,2010,6.73,28.62,-0.22
Australia,2011,8.23,52.19,2.05
Australia,2012,14.01,7.07,0.54
Australia,2013,14.59,39.39,1.24
Australia,2014,11.79,28.27,2.49
Australia,2015,12.84,29.18,-0.82
Australia,2016,4.62,28.02,1.79
Australia,2017,1.6,50.9,-0.11
Australia,2018,13.19,59.17,0.17
Australia,2019,13.66,34.13,0.52
Australia,2020,7.1,57.56,-0.35
Australia,2021,4.57,25.23,2.9
Australia,2022,9.15,41.1,0.49
Japan,2010,3.37,5.33,2.09
Japan,2011,5.18,27.01,0.19
Japan,2012,14.66,36.17,2.77
Japan,2013,10.3,24.17,1.57
Japan,2014,14.77,53.14,-0.62
Japan,2015,2.08,41.07,0.76
Japan,2016,6.65,47.41,0.57
Japan,2017,4.54,14.52,2.27
Japan,2018,5.94,39.62,-0.91
Japan,2019,11.58,10.79,0.98
Japan,2020,7.5,36.95,-0.05
Japan,2021,9.89,32.76,0.33
Japan,2022,4.7,38.8,1.51
South Africa,2010,6.07,12.01,-0.19
South Africa,2011,8.6,31.03,0.37
South Africa,2012,6.39,40.62,0.61
South Africa,2013,14.29,11.52,0.63
South Africa,2014,7.68,58.28,-0.29
South Africa,2015,3.57,40.26,2.81
South Africa,2016,11.36,59.88,-0.39
South Africa,2017,3.15,18.57,0.16
South Africa,2018,8.22,30.81,-0.99
South Africa,2019,3.85,33.63,0.63
South Africa,2020,1.56,18.13,2.48
South Africa,2021,6.95,27.86,1.94
South Africa,2022,14.88,8.03,2.44
